NAMA_INSTANSI
BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MAN
BADAN KESATUAN BANGSA DAN POLITIK
KANTOR KELURAHAN SOTEK
KANTOR KELURAHAN SUNGAI PARIT
KANTOR KELURAHAN TANJUNG TENGAH
KELURAHAN WARU
MADRASAH TSANAWIYAH NEGERI WARU
PENGAWAS SLTA SLTP SD DAN TK                    
PUSKESMAS BABULU                                  
PUSKESMAS GUNUNG INTAN                            
PUSKESMAS MARIDAN                                 
PUSKESMAS PENAJAM
PUSKESMAS PETUNG                                  
PUSKESMAS SEBAKUNG JAYA                           
PUSKESMAS SEMOI  II                               
PUSKESMAS SEPAKU I                                
PUSKESMAS SEPAKU III                              
PUSKESMAS SOTEK                                   
PUSKESMAS WARU                                    
RUMAH SAKIT UMUM DAERAH                           
RUMAH SAKIT UMUM DAERAH SEPAKU
SATUAN POLISI PAMONG PRAJA
SEKOLAH DASAR NEGERI 001 BABULU                   
SEKOLAH DASAR NEGERI 001 PENAJAM                  
SEKOLAH DASAR NEGERI 001 SEPAKU                   
SEKOLAH DASAR NEGERI 001 WARU                     
SEKOLAH DASAR NEGERI 002 BABULU                   
SEKOLAH DASAR NEGERI 002 PENAJAM                  
SEKOLAH DASAR NEGERI 002 SEPAKU                   
SEKOLAH DASAR NEGERI 002 WARU                     
SEKOLAH DASAR NEGERI 003 BABULU                   
SEKOLAH DASAR NEGERI 003 PENAJAM                  
SEKOLAH DASAR NEGERI 003 SEPAKU                   
SEKOLAH DASAR NEGERI 003 WARU                     
SEKOLAH DASAR NEGERI 004 BABULU                   
SEKOLAH DASAR NEGERI 004 PENAJAM                  
SEKOLAH DASAR NEGERI 004 SEPAKU                   
SEKOLAH DASAR NEGERI 005 BABULU                   
SEKOLAH DASAR NEGERI 005 PENAJAM                  
SEKOLAH DASAR NEGERI 005 SEPAKU                   
SEKOLAH DASAR NEGERI 005 WARU                     
SEKOLAH DASAR NEGERI 006 BABULU                   
SEKOLAH DASAR NEGERI 006 PENAJAM                  
SEKOLAH DASAR NEGERI 006 SEPAKU                   
SEKOLAH DASAR NEGERI 006 WARU                     
SEKOLAH DASAR NEGERI 007 BABULU                   
SEKOLAH DASAR NEGERI 007 PENAJAM                  
SEKOLAH DASAR NEGERI 007 SEPAKU                   
SEKOLAH DASAR NEGERI 007 WARU                     
SEKOLAH DASAR NEGERI 008 BABULU                   
SEKOLAH DASAR NEGERI 008 PENAJAM                  
SEKOLAH DASAR NEGERI 008 SEPAKU                   
SEKOLAH DASAR NEGERI 008 WARU                     
SEKOLAH DASAR NEGERI 009 BABULU                   
SEKOLAH DASAR NEGERI 009 PENAJAM                  
SEKOLAH DASAR NEGERI 009 SEPAKU                   
SEKOLAH DASAR NEGERI 009 WARU                     
SEKOLAH DASAR NEGERI 010 BABULU                   
SEKOLAH DASAR NEGERI 010 SEPAKU                   
SEKOLAH DASAR NEGERI 010 WARU                     
SEKOLAH DASAR NEGERI 011 BABULU                   
SEKOLAH DASAR NEGERI 011 PENAJAM                  
SEKOLAH DASAR NEGERI 011 SEPAKU                   
SEKOLAH DASAR NEGERI 011 WARU                     
SEKOLAH DASAR NEGERI 012 BABULU                   
SEKOLAH DASAR NEGERI 012 PENAJAM                  
SEKOLAH DASAR NEGERI 012 SEPAKU                   
SEKOLAH DASAR NEGERI 013 BABULU                   
SEKOLAH DASAR NEGERI 013 PENAJAM                  
SEKOLAH DASAR NEGERI 013 SEPAKU                   
SEKOLAH DASAR NEGERI 014 BABULU                   
SEKOLAH DASAR NEGERI 014 PENAJAM                  
SEKOLAH DASAR NEGERI 014 SEPAKU                   
SEKOLAH DASAR NEGERI 015 PENAJAM                  
SEKOLAH DASAR NEGERI 015 SEPAKU                   
SEKOLAH DASAR NEGERI 016 BABULU                   
SEKOLAH DASAR NEGERI 016 PENAJAM                  
SEKOLAH DASAR NEGERI 016 SEPAKU                   
SEKOLAH DASAR NEGERI 017 BABULU                   
SEKOLAH DASAR NEGERI 017 PENAJAM                  
SEKOLAH DASAR NEGERI 017 SEPAKU                   
SEKOLAH DASAR NEGERI 018 BABULU                   
SEKOLAH DASAR NEGERI 018 PENAJAM                  
SEKOLAH DASAR NEGERI 018 SEPAKU                   
SEKOLAH DASAR NEGERI 019 BABULU                   
SEKOLAH DASAR NEGERI 019 PENAJAM                  
SEKOLAH DASAR NEGERI 019 SEPAKU                   
SEKOLAH DASAR NEGERI 020 BABULU                   
SEKOLAH DASAR NEGERI 020 PENAJAM                  
SEKOLAH DASAR NEGERI 020 SEPAKU                   
SEKOLAH DASAR NEGERI 021 BABULU                   
SEKOLAH DASAR NEGERI 021 PENAJAM                  
SEKOLAH DASAR NEGERI 021 SEPAKU                   
SEKOLAH DASAR NEGERI 022 BABULU                   
SEKOLAH DASAR NEGERI 022 PENAJAM                  
SEKOLAH DASAR NEGERI 022 SEPAKU                   
SEKOLAH DASAR NEGERI 023 BABULU                   
SEKOLAH DASAR NEGERI 023 PENAJAM                  
SEKOLAH DASAR NEGERI 023 SEPAKU                   
SEKOLAH DASAR NEGERI 024 PENAJAM                  
SEKOLAH DASAR NEGERI 024 SEPAKU                   
SEKOLAH DASAR NEGERI 025 PENAJAM                  
SEKOLAH DASAR NEGERI 025 SEPAKU
SEKOLAH DASAR NEGERI 026 PENAJAM                  
SEKOLAH DASAR NEGERI 027 PENAJAM                  
SEKOLAH DASAR NEGERI 028 PENAJAM                  
SEKOLAH DASAR NEGERI 029 PENAJAM                  
SEKOLAH DASAR NEGERI 030 PENAJAM                  
SEKOLAH DASAR NEGERI 031 PENAJAM                  
SEKOLAH DASAR NEGERI 032 PENAJAM                  
SEKOLAH DASAR NEGERI 033 PENAJAM                  
SEKOLAH DASAR NEGERI 034 PENAJAM                  
SEKOLAH DASAR NEGERI 035 PENAJAM                  
SEKOLAH DASAR NEGERI 036 PENAJAM                  
SEKOLAH DASAR NEGERI 037 PENAJAM                  
SEKOLAH DASAR NEGERI 038 PENAJAM                  
SEKOLAH DASAR NEGERI 039 PENAJAM                  
SEKOLAH DASAR NEGERI 040 PENAJAM                  
SEKOLAH LANJUTAN TINGKAT PERTAMA MUHAMMADIYAH SEPA
SEKOLAH LANJUTAN TINGKAT PERTAMA NEGERI 01 PPU
SEKOLAH LANJUTAN TINGKAT PERTAMA NEGERI 02 PPU
SEKOLAH LANJUTAN TINGKAT PERTAMA NEGERI 03 PPU
SEKOLAH LANJUTAN TINGKAT PERTAMA NEGERI 04 PPU
SEKOLAH LANJUTAN TINGKAT PERTAMA NEGERI 05 PPU
SEKOLAH LANJUTAN TINGKAT PERTAMA NEGERI 06 PPU
SEKOLAH LANJUTAN TINGKAT PERTAMA NEGERI 07 PPU
SEKOLAH LANJUTAN TINGKAT PERTAMA NEGERI 08 PPU
SEKOLAH LANJUTAN TINGKAT PERTAMA NEGERI 09 PPU
SEKOLAH LANJUTAN TINGKAT PERTAMA NEGERI 10 PPU
SEKOLAH LANJUTAN TINGKAT PERTAMA NEGERI 11 PPU
SEKOLAH LANJUTAN TINGKAT PERTAMA NEGERI 12 PPU
SEKOLAH LANJUTAN TINGKAT PERTAMA NEGERI 13 PPU
SEKOLAH LANJUTAN TINGKAT PERTAMA NEGERI 14 PPU
SEKOLAH LANJUTAN TINGKAT PERTAMA NEGERI 15 PPU
SEKOLAH LANJUTAN TINGKAT PERTAMA NEGERI 16 PPU
SEKOLAH LANJUTAN TINGKAT PERTAMA NEGERI 17 PPU
SEKOLAH LANJUTAN TINGKAT PERTAMA NEGERI 18 PPU
SEKOLAH LANJUTAN TINGKAT PERTAMA NEGERI 19 PPU
SEKOLAH LANJUTAN TINGKAT PERTAMA NEGERI 20 PPU
SEKOLAH LANJUTAN TINGKAT PERTAMA NEGERI 21 PPU
SEKOLAH LANJUTAN TINGKAT PERTAMA NEGERI 22 PPU
SEKOLAH LANJUTAN TINGKAT PERTAMA NEGERI 23 PPU
SEKOLAH LANJUTAN TINGKAT PERTAMA NEGERI 24 PPU
SEKOLAH LANJUTAN TINGKAT PERTAMA NEGERI 25 PPU
SEKOLAH LANJUTAN TINGKAT PERTAMA NEGERI 26 PPU
SEKOLAH LANJUTAN TINGKAT PERTAMA NEGERI 27 PPU
SEKRETARIAT DAERAH
SEKRETARIAT DPRD
TAMAN KANAK-KANAK NEGERI PEMBINA BABULU
TAMAN KANAK-KANAK NEGERI PEMBINA PENAJAM          
UPTD KECAMATAN BABULU
UPTD KECAMATAN PENAJAM
UPTD KECAMATAN SEPAKU
UPTD KECAMATAN WARU
